Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/[valid-flood-target],5930,0,13,21.77204925801018,4.048799999964103,2090.248999999858,7111.213490725127,19.892471357974983,0.0,13,16,19,21,26,31,37,42,2100,2100,2100
,Aggregated,5930,0,13,21.77204925801018,4.048799999964103,2090.248999999858,7111.213490725127,19.892471357974983,0.0,13,16,19,21,26,31,37,42,2100,2100,2100
