NAME                                                     READY   STATUS             RESTARTS          AGE    IP             NODE             NOMINATED NODE   READINESS GATES
alertmanager-monitoring-kube-prometheus-alertmanager-0   2/2     Running            18 (86m ago)      22d    10.1.2.252     docker-desktop   <none>           <none>
fluent-bit-6vtww                                         1/1     Running            6 (85m ago)       2d1h   10.1.2.240     docker-desktop   <none>           <none>
monitoring-grafana-9555d54c-pmj4t                        3/3     Running            27 (86m ago)      22d    10.1.2.236     docker-desktop   <none>           <none>
monitoring-kube-prometheus-operator-57bb844c8c-9rhmf     1/1     Running            15 (86m ago)      22d    10.1.2.235     docker-desktop   <none>           <none>
monitoring-kube-state-metrics-7f7f8474d9-b2j8n           1/1     Running            15 (86m ago)      22d    10.1.2.239     docker-desktop   <none>           <none>
monitoring-prometheus-node-exporter-h9qm7                0/1     CrashLoopBackOff   1781 (3m1s ago)   22d    192.168.65.3   docker-desktop   <none>           <none>
opensearch-cluster-single-0                              1/1     Running            5 (86m ago)       8d     10.1.2.251     docker-desktop   <none>           <none>
opensearch-dashboards-7d84b76f74-b9rvd                   1/1     Running            3 (86m ago)       46h    10.1.2.238     docker-desktop   <none>           <none>
prometheus-monitoring-kube-prometheus-prometheus-0       2/2     Running            18 (86m ago)      22d    10.1.2.254     docker-desktop   <none>           <none>
