Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,380,0,22,26.920102105194882,10.424200001580175,2075.533199997153,10499.0,0.25358355786802045,0.0,22,23,25,26,36,39,43,51,2100,2100,2100
GET,/cart,145,0,7,7.084494482842274,4.6172000002115965,10.763799997221213,5087.0,0.09676214708121833,0.0,7,7,8,8,9,10,11,11,11,11,11
GET,/product/[product_id],325,0,7,13.279175384623858,5.217900004936382,2048.644399998011,5865.0,0.2168806744923859,0.0,7,7,8,8,9,9,10,10,2000,2000,2000
,Aggregated,850,0,9,18.32073235292816,4.6172000002115965,2075.533199997153,7803.952941176471,0.5672263794416247,0.0,9,13,21,22,26,35,41,43,2100,2100,2100
