POD                                     READY   RESTARTS
cartservice-55d4754bd7-kvx42            true    8
checkoutservice-69775cb597-pzkcj        true    8
currencyservice-54db6848ff-rmq86        true    8
emailservice-d8847778d-zc7mz            true    8
frontend-545d4c6658-jtkjk               true    8
paymentservice-57c96df968-lshzp         true    8
productcatalogservice-f9cffdb98-s4c5n   true    8
redis-cart-5dc857bb5d-j48tx             true    8
shippingservice-d8f49964c-6gkjc         true    8
