Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/[reconnaissance-path],1117,0,4,7.348493733258066,1.9159000003128313,2062.887899999623,19.10205908683975,3.735153584540709,0.0,4,4,4,4,5,5,6,6,2000,2100,2100
,Aggregated,1117,0,4,7.348493733258066,1.9159000003128313,2062.887899999623,19.10205908683975,3.735153584540709,0.0,4,4,4,4,5,5,6,6,2000,2100,2100
