NAME                                    READY   STATUS    RESTARTS      AGE   IP           NODE             NOMINATED NODE   READINESS GATES
cartservice-55d4754bd7-kvx42            1/1     Running   8 (16h ago)   22d   10.1.2.226   docker-desktop   <none>           <none>
checkoutservice-69775cb597-pzkcj        1/1     Running   8 (16h ago)   22d   10.1.2.218   docker-desktop   <none>           <none>
currencyservice-54db6848ff-rmq86        1/1     Running   8 (16h ago)   22d   10.1.2.221   docker-desktop   <none>           <none>
emailservice-d8847778d-zc7mz            1/1     Running   8 (16h ago)   22d   10.1.2.213   docker-desktop   <none>           <none>
frontend-545d4c6658-jtkjk               1/1     Running   8 (16h ago)   22d   10.1.2.214   docker-desktop   <none>           <none>
paymentservice-57c96df968-lshzp         1/1     Running   8 (16h ago)   22d   10.1.2.224   docker-desktop   <none>           <none>
productcatalogservice-f9cffdb98-s4c5n   1/1     Running   8 (16h ago)   22d   10.1.2.223   docker-desktop   <none>           <none>
redis-cart-5dc857bb5d-j48tx             1/1     Running   8 (16h ago)   22d   10.1.2.219   docker-desktop   <none>           <none>
shippingservice-d8f49964c-6gkjc         1/1     Running   8 (16h ago)   22d   10.1.2.229   docker-desktop   <none>           <none>
