Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout baseline session],2,0,2082.951900003536,2067.817549999745,2052.683199995954,2082.951900003536,10499.0,0.0035479818203811323,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item baseline],16,0,4,5.183856249459495,3.8365000000339933,16.177500001504086,0.0,0.02838385456304906,0.0,5,5,5,5,5,16,16,16,16,16,16
GET,/cart [view baseline],16,0,7,6.980950000524899,5.788599999505095,11.634200003754813,14659.0,0.02838385456304906,0.0,7,7,7,7,9,12,12,12,12,12,12
POST,/cart/checkout [normal],16,0,12,46.95061875054307,10.494900001503993,564.1142999957083,5004.0,0.02838385456304906,0.0,12,12,13,13,21,560,560,560,560,560,560
GET,/product/[id] [checkout baseline],16,0,7,7.171600000674516,6.277699998463504,8.43929999973625,5865.0,0.02838385456304906,0.0,7,7,8,8,8,8,8,8,8,8,8
,Aggregated,66,0,7,78.73071969725336,3.8365000000339933,2082.951900003536,6506.757575757576,0.11708340007257736,0.0,7,8,11,12,13,21,2100,2100,2100,2100,2100
