Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782442865,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782442866,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782442867,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782442868,2,,Aggregated,0.000000,0.000000,16,560,560,2100,2100,2100,2100,2100,2100,2100,2100,5,0,16,536.2570400015102,6.407300003047567,2082.951900003536,7205.4
1782442869,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442870,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442871,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442872,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442873,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442874,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442875,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442876,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442877,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442878,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
1782442879,2,,Aggregated,0.000000,0.000000,12,16,560,2100,2100,2100,2100,2100,2100,2100,2100,10,0,12,476.3554199998907,4.78369999473216,2082.951900003536,7205.4
