Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout abuse session],5,0,2074.117500000284,2060.96225999936,2047.1870999972452,2074.117500000284,10499.0,0.01675563403292671,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item abuse],366,0,4,5.611809289818114,3.1975999954738654,48.79810000420548,0.0,1.226512411210235,0.0,4,4,4,5,5,6,48,48,49,49,49
GET,/cart [view abuse],366,0,6,6.11417923506163,4.878100000496488,10.69419999839738,14659.0,1.226512411210235,0.0,6,6,6,7,7,8,8,9,11,11,11
POST,/cart/checkout [abuse],366,0,10,11.351845081622999,8.486399994581006,56.25980000331765,5004.0,1.226512411210235,0.0,10,10,11,11,12,13,52,53,56,56,56
GET,/product/[id] [checkout abuse],366,0,6,6.391316939738059,4.443999998329673,9.509399998933077,5865.0,1.226512411210235,0.0,6,7,7,7,7,8,8,8,10,10,10
,Aggregated,1469,0,6,14.357059496202133,3.1975999954738654,2074.117500000284,6396.012933968686,4.9228052788738665,0.0,6,7,9,9,10,11,15,51,2100,2100,2100
