Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout baseline session],2,0,2092.796199998702,2076.660599999741,2060.52500000078,2092.796199998702,10499.0,0.00093989112774121,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item baseline],58,0,4,8.025527586267282,3.416699997615069,49.84129999502329,0.0,0.02725684270449509,0.0,4,5,5,5,5,48,48,50,50,50,50
GET,/cart [view baseline],58,0,6,6.588191379705677,5.223000000114553,10.01189999806229,14659.0,0.02725684270449509,0.0,6,7,7,7,8,9,9,10,10,10,10
POST,/cart/checkout [normal],58,0,11,13.877151723888879,8.817399997496977,59.09299999620998,5004.0,0.02725684270449509,0.0,11,11,12,12,13,55,57,59,59,59,59
GET,/product/[id] [checkout baseline],58,0,7,7.124860345356865,5.714900005841628,9.471999997913372,5865.0,0.02725684270449509,0.0,7,7,8,8,8,9,9,9,9,9,9
,Aggregated,234,0,7,26.577066666846868,3.416699997615069,2092.796199998702,6417.188034188034,0.10996726194572157,0.0,7,8,10,10,11,13,55,59,2100,2100,2100
