Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout baseline session],2,0,2080.640399999538,2069.6388500000467,2058.637300000555,2080.640399999538,10499.0,0.006848497400234132,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item baseline],9,0,5,4.690744444410989,3.700500001286855,5.333299999620067,0.0,0.030818238301053593,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/cart [view baseline],9,0,7,6.655199999739933,5.514200000106939,7.696900000155438,14659.0,0.030818238301053593,0.0,7,7,7,8,8,8,8,8,8,8,8
POST,/cart/checkout [normal],9,0,11,11.254700000184434,9.597000000212574,12.234900001203641,5004.0,0.030818238301053593,0.0,11,11,12,12,12,12,12,12,12,12,12
GET,/product/[id] [checkout baseline],9,0,7,6.817922222479764,5.527500001335284,7.892999999967287,5865.0,0.030818238301053593,0.0,7,7,7,8,8,8,8,8,8,8,8
,Aggregated,38,0,7,115.8959157895113,3.700500001286855,2080.640399999538,6598.684210526316,0.13012145060444852,0.0,7,8,10,11,12,2100,2100,2100,2100,2100,2100
