Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,431,0,23,24.373723201836153,9.96589999704156,138.236799997685,10499.0,0.11977237014969012,0.0,23,24,26,29,35,40,47,50,140,140,140
GET,/cart,224,0,7,6.755577232005245,4.270899997209199,9.563299994624685,5087.0,0.06224828518220554,0.0,7,7,7,8,8,8,9,9,10,10,10
POST,/cart [add item],29,0,12,11.922258621529307,9.625099999539088,16.991199998301454,14659.0,0.008058929778053395,0.0,12,12,12,13,13,14,17,17,17,17,17
POST,/cart/checkout,29,0,11,16.18535517226174,9.47009999799775,59.30210000224179,5004.0,0.008058929778053395,0.0,11,12,13,14,55,55,59,59,59,59,59
GET,/product/[product_id],340,0,7,6.700473235276363,5.152999998244923,22.45579999726033,5865.0,0.09448400429441912,0.0,7,7,7,7,8,8,9,9,22,22,22
,Aggregated,1053,0,8,14.35100256407831,4.270899997209199,138.236799997685,7814.70465337132,0.2926225191824216,0.0,8,17,23,23,27,34,40,47,90,140,140
