Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,383,0,21,25.785814099203094,10.23440000062692,2086.1973999999464,10499.0,0.2556789631133495,0.0,21,23,25,26,32,36,44,49,2100,2100,2100
GET,/cart,159,0,6,19.749968553410813,4.830500000025495,2085.405699999683,5087.0,0.10614348599222602,0.0,6,7,7,7,8,8,9,10,2100,2100,2100
GET,/product/[product_id],317,0,7,6.731797791805952,5.159599999387865,10.279699999955483,5865.0,0.2116194028901613,0.0,7,7,7,7,8,9,9,9,10,10,10
,Aggregated,859,0,8,17.637010128043762,4.830500000025495,2086.1973999999464,7787.142025611176,0.5734418519957367,0.0,8,13,17,22,25,31,37,44,2100,2100,2100
