NAME                                                     READY   STATUS             RESTARTS         AGE     IP             NODE             NOMINATED NODE   READINESS GATES
alertmanager-monitoring-kube-prometheus-alertmanager-0   2/2     Running            16 (12h ago)     22d     10.1.2.232     docker-desktop   <none>           <none>
fluent-bit-6vtww                                         1/1     Running            4 (12h ago)      41h     10.1.2.220     docker-desktop   <none>           <none>
monitoring-grafana-9555d54c-pmj4t                        3/3     Running            24 (12h ago)     22d     10.1.2.228     docker-desktop   <none>           <none>
monitoring-kube-prometheus-operator-57bb844c8c-9rhmf     1/1     Running            13 (12h ago)     22d     10.1.2.230     docker-desktop   <none>           <none>
monitoring-kube-state-metrics-7f7f8474d9-b2j8n           1/1     Running            13 (12h ago)     22d     10.1.2.225     docker-desktop   <none>           <none>
monitoring-prometheus-node-exporter-h9qm7                0/1     CrashLoopBackOff   1689 (24s ago)   22d     192.168.65.3   docker-desktop   <none>           <none>
opensearch-cluster-single-0                              1/1     Running            4 (12h ago)      7d19h   10.1.2.233     docker-desktop   <none>           <none>
opensearch-dashboards-7d84b76f74-b9rvd                   1/1     Running            2 (12h ago)      38h     10.1.2.227     docker-desktop   <none>           <none>
prometheus-monitoring-kube-prometheus-prometheus-0       2/2     Running            16 (12h ago)     22d     10.1.2.231     docker-desktop   <none>           <none>
