Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,402,0,22,31.493829104603257,9.935899994161446,2072.103900005459,10499.0,0.2684806134454025,0.0,22,24,25,26,33,38,43,45,2100,2100,2100
GET,/cart,164,0,7,7.322118902510095,5.475700003444217,57.43280000024242,5087.0,0.10952940449016421,0.0,7,7,8,8,8,9,9,10,57,57,57
GET,/product/[product_id],304,0,7,6.822064802666941,5.3264999951352365,10.179199998674449,5865.0,0.2030301156403044,0.0,7,7,7,8,8,9,9,9,10,10,10
,Aggregated,870,0,8,18.31638448284243,5.3264999951352365,2072.103900005459,7859.570114942529,0.5810401335758711,0.0,9,14,22,23,26,33,39,43,2100,2100,2100
