NAME                                    READY   STATUS    RESTARTS        AGE   IP          NODE             NOMINATED NODE   READINESS GATES
cartservice-55d4754bd7-kvx42            1/1     Running   11 (115m ago)   23d   10.1.3.40   docker-desktop   <none>           <none>
checkoutservice-69775cb597-pzkcj        1/1     Running   11 (115m ago)   23d   10.1.3.38   docker-desktop   <none>           <none>
currencyservice-9759f6f9d-gr2c2         1/1     Running   1 (115m ago)    14h   10.1.3.43   docker-desktop   <none>           <none>
emailservice-d8847778d-zc7mz            1/1     Running   11 (115m ago)   23d   10.1.3.35   docker-desktop   <none>           <none>
frontend-545d4c6658-jtkjk               1/1     Running   11 (115m ago)   23d   10.1.3.41   docker-desktop   <none>           <none>
paymentservice-57c96df968-lshzp         1/1     Running   11 (115m ago)   23d   10.1.3.44   docker-desktop   <none>           <none>
productcatalogservice-f9cffdb98-s4c5n   1/1     Running   11 (115m ago)   23d   10.1.3.24   docker-desktop   <none>           <none>
redis-cart-5dc857bb5d-j48tx             1/1     Running   11 (115m ago)   23d   10.1.3.30   docker-desktop   <none>           <none>
shippingservice-d8f49964c-6gkjc         1/1     Running   11 (115m ago)   23d   10.1.3.28   docker-desktop   <none>           <none>
