Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout baseline session],2,0,2060.2196999971056,2057.224349995522,2054.2289999939385,2060.2196999971056,10499.0,0.0009501149603007461,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item baseline],58,0,4,7.96483620684614,3.436799997871276,48.06010000174865,0.0,0.027553333848721637,0.0,4,5,5,5,6,47,48,48,48,48,48
GET,/cart [view baseline],58,0,6,6.426098275902593,4.898099999991246,9.0829999971902,14659.0,0.027553333848721637,0.0,6,7,7,7,8,8,8,9,9,9,9
POST,/cart/checkout [normal],58,0,11,12.412500000334996,9.100200004468206,54.01269999856595,5004.0,0.027553333848721637,0.0,11,11,12,12,14,16,52,54,54,54,54
GET,/product/[id] [checkout baseline],58,0,7,7.086065517545774,5.626099999062717,10.692899995774496,5865.0,0.027553333848721637,0.0,7,7,8,8,8,9,9,11,11,11,11
,Aggregated,234,0,7,25.983075641143397,3.436799997871276,2060.2196999971056,6417.188034188034,0.1111634503551873,0.0,7,8,10,10,12,14,48,54,2100,2100,2100
