Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6,0,85,448.80721666656126,57.280299995909445,2177.329300000565,10499.0,0.18064700448404805,0.0,120,120,180,180,2200,2200,2200,2200,2200,2200,2200
GET,/cart,6,0,9,369.23181666740373,8.314999999129213,2168.6564999981783,5087.0,0.18064700448404805,0.0,9,9,12,12,2200,2200,2200,2200,2200,2200,2200
GET,/product/[product_id],6,0,10,11.909283328956613,8.86059999174904,16.82509999955073,5865.0,0.18064700448404805,0.0,11,11,15,15,17,17,17,17,17,17,17
,Aggregated,18,0,12,276.64943888764054,8.314999999129213,2177.329300000565,7150.333333333333,0.5419410134521442,0.0,15,57,85,120,2200,2200,2200,2200,2200,2200,2200
