Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [checkout baseline session],2,0,2042.304200003855,2066.6549500019755,2042.304200003855,2091.005700000096,10499.0,0.0009558537500120916,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/cart [add item baseline],58,0,4,4.913913792828178,3.299799995147623,46.416599994699936,0.0,0.027719758750350657,0.0,4,4,4,5,5,8,9,46,46,46,46
GET,/cart [view baseline],58,0,6,6.128527586607278,5.0137999933212996,7.738100001006387,14659.0,0.027719758750350657,0.0,6,7,7,7,7,8,8,8,8,8,8
POST,/cart/checkout [normal],58,0,10,10.754010344153984,8.731999994779471,27.18279999680817,5004.0,0.027719758750350657,0.0,10,11,11,11,13,14,16,27,27,27,27
GET,/product/[id] [checkout baseline],58,0,7,7.215644827424669,4.772000000230037,10.3406000052928,5865.0,0.027719758750350657,0.0,7,8,8,8,9,10,10,10,10,10,10
,Aggregated,234,0,7,24.854749999840895,3.299799995147623,2091.005700000096,6417.188034188034,0.11183488875141472,0.0,7,8,9,10,11,12,16,46,2100,2100,2100
