Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,104,0,21,20.309982692371985,11.098999999376247,48.79190000065137,10499.0,0.3967028302546648,0.0,22,23,25,26,31,35,41,46,49,49,49
GET,/cart,40,0,7,7.724379999945086,5.6574999980512075,30.244499997934327,5087.0,0.15257801163640955,0.0,7,7,8,8,9,11,30,30,30,30,30
GET,/product/[product_id],82,0,6,6.647363414674878,5.32549999843468,12.811500000680098,5865.0,0.3127849238546396,0.0,6,7,7,7,7,8,9,13,13,13,13
,Aggregated,226,0,8,13.125208849592168,5.32549999843468,48.79190000065137,7859.761061946902,0.8620657657457139,0.0,9,13,15,23,26,30,38,41,49,49,49
